name,link,size
AKB1-48 - Idol to Koishitara... (Japan).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/AKB1-48%20-%20Idol%20to%20Koishitara...%20%28Japan%29/AKB1-48%20-%20Idol%20to%20Koishitara...%20%28Japan%29.iso,1.66 GB
AKB1-48+10 - Idol to Guam de Koishitara... (Japan).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/AKB1-48%2B10%20-%20Idol%20to%20Guam%20de%20Koishitara...%20%28Japan%29/AKB1-48%2B10%20-%20Idol%20to%20Guam%20de%20Koishitara...%20%28Japan%29.iso,1.68 GB
Akiba's Trip (Japan).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/Akiba%27s%20Trip%20%28Japan%29/Akiba%27s%20Trip%20%28Japan%29.iso,671.47 MB
Akiba's Trip Plus (Japan).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/Akiba%27s%20Trip%20Plus%20%28Japan%29/Akiba%27s%20Trip%20Plus%20%28Japan%29.iso,835.31 MB
Akudaikan Manyuuki (Japan).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/Akudaikan%20Manyuuki%20%28Japan%29/Akudaikan%20Manyuuki%20%28Japan%29.iso,132.16 MB
Akumajou Dracula X - Chronicle (Japan).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/Akumajou%20Dracula%20X%20-%20Chronicle%20%28Japan%29/Akumajou%20Dracula%20X%20-%20Chronicle%20%28Japan%29.iso,1.03 GB
"Alien Syndrome (Europe) (En,Fr,De,Es,It).iso",https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/Alien%20Syndrome%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%29/Alien%20Syndrome%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%29.iso,475.97 MB
Alien Syndrome (USA).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/Alien%20Syndrome%20%28USA%29/Alien%20Syndrome%20%28USA%29.iso,471.88 MB
Aliens vs. Predator - Requiem (Europe).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/Aliens%20vs.%20Predator%20-%20Requiem%20%28Europe%29/Aliens%20vs.%20Predator%20-%20Requiem%20%28Europe%29.iso,378.12 MB
Aliens vs. Predator - Requiem (USA).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/Aliens%20vs.%20Predator%20-%20Requiem%20%28USA%29/Aliens%20vs.%20Predator%20-%20Requiem%20%28USA%29.iso,378.12 MB
All Kamen Rider - Rider Generation 2 (Japan).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/All%20Kamen%20Rider%20-%20Rider%20Generation%202%20%28Japan%29/All%20Kamen%20Rider%20-%20Rider%20Generation%202%20%28Japan%29.iso,943.19 MB
Amagami (Japan).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/Amagami%20%28Japan%29/Amagami%20%28Japan%29.iso,1.50 GB
"Amagoushi no Yakata Portable - Ichiyanagi Nagomu, Saisho no Junan (Japan).iso",https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/Amagoushi%20no%20Yakata%20Portable%20-%20Ichiyanagi%20Nagomu%2C%20Saisho%20no%20Junan%20%28Japan%29/Amagoushi%20no%20Yakata%20Portable%20-%20Ichiyanagi%20Nagomu%2C%20Saisho%20no%20Junan%20%28Japan%29.iso,858.34 MB
Amatsumi Sora ni! Kumo no Hatate ni (Japan) (Disc 1).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/Amatsumi%20Sora%20ni%21%20Kumo%20no%20Hatate%20ni%20%28Japan%29%20%28Disc%201%29/Amatsumi%20Sora%20ni%21%20Kumo%20no%20Hatate%20ni%20%28Japan%29%20%28Disc%201%29.iso,393.25 MB
Amatsumi Sora ni! Kumo no Hatate ni (Japan) (Disc 2).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/Amatsumi%20Sora%20ni%21%20Kumo%20no%20Hatate%20ni%20%28Japan%29%20%28Disc%202%29/Amatsumi%20Sora%20ni%21%20Kumo%20no%20Hatate%20ni%20%28Japan%29%20%28Disc%202%29.iso,1.66 GB
Amnesia (Japan).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/Amnesia%20%28Japan%29/Amnesia%20%28Japan%29.iso,1.06 GB
Amnesia Crowd (Japan).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/Amnesia%20Crowd%20%28Japan%29/Amnesia%20Crowd%20%28Japan%29.iso,1.65 GB
Amnesia Later (Japan).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/Amnesia%20Later%20%28Japan%29/Amnesia%20Later%20%28Japan%29.iso,1.29 GB
Anata o Yurusanai (Japan).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/Anata%20o%20Yurusanai%20%28Japan%29/Anata%20o%20Yurusanai%20%28Japan%29.iso,622.31 MB
Angelique - Maren no Rokukishi (Japan).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/Angelique%20-%20Maren%20no%20Rokukishi%20%28Japan%29/Angelique%20-%20Maren%20no%20Rokukishi%20%28Japan%29.iso,1.46 GB
Angelique Retour (Japan).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/Angelique%20Retour%20%28Japan%29/Angelique%20Retour%20%28Japan%29.iso,1.25 GB
