name,size,link
Blue's Clues - Blue's Big Musical (USA).chd,523 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Blue%27s%20Clues%20-%20Blue%27s%20Big%20Musical%20%28USA%29.chd?download=true
Bob the Builder - Can We Fix It (USA).chd,75 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Bob%20the%20Builder%20-%20Can%20We%20Fix%20It%20%28USA%29.chd?download=true
Bottom of the 9th '97 (USA).chd,291 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Bottom%20of%20the%209th%20%2797%20%28USA%29.chd?download=true
Bottom of the 9th '99 (USA).chd,274 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Bottom%20of%20the%209th%20%2799%20%28USA%29.chd?download=true
Bottom of the 9th (USA).chd,168 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Bottom%20of%20the%209th%20%28USA%29.chd?download=true
Bowling (USA).chd,73 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Bowling%20%28USA%29.chd?download=true
Boxing (USA).chd,60 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Boxing%20%28USA%29.chd?download=true
Brahma Force - The Assault on Beltlogger 9 (USA).chd,377 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Brahma%20Force%20-%20The%20Assault%20on%20Beltlogger%209%20%28USA%29.chd?download=true
BrainDead 13 (USA) (Disc 1).chd,560 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/BrainDead%2013%20%28USA%29%20%28Disc%201%29.chd?download=true
BrainDead 13 (USA) (Disc 2).chd,436 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/BrainDead%2013%20%28USA%29%20%28Disc%202%29.chd?download=true
"Bratz - Dress Up, Get Down and Be a Bratz Superstar! (USA) (En,Fr,Es).chd",138 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Bratz%20-%20Dress%20Up%2C%20Get%20Down%20and%20Be%20a%20Bratz%20Superstar%21%20%28USA%29%20%28En%2CFr%2CEs%29.chd?download=true
Brave Fencer Musashi (USA).chd,211 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Brave%20Fencer%20Musashi%20%28USA%29.chd?download=true
Bravo Air Race (USA).chd,480 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Bravo%20Air%20Race%20%28USA%29.chd?download=true
Breaker Pro Version 1.1 (USA) (Unl).chd,0 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Breaker%20Pro%20Version%201.1%20%28USA%29%20%28Unl%29.chd?download=true
Breakout (USA).chd,399 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Breakout%20%28USA%29.chd?download=true
Breath of Fire III (USA).chd,152 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Breath%20of%20Fire%20III%20%28USA%29.chd?download=true
Breath of Fire IV (USA) (Beta).chd,213 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Breath%20of%20Fire%20IV%20%28USA%29%20%28Beta%29.chd?download=true
Breath of Fire IV (USA).chd,209 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Breath%20of%20Fire%20IV%20%28USA%29.chd?download=true
Brigandine - The Legend of Forsena (USA).chd,304 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Brigandine%20-%20The%20Legend%20of%20Forsena%20%28USA%29.chd?download=true
Broken Helix (USA) (Rev 1).chd,487 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Broken%20Helix%20%28USA%29%20%28Rev%201%29.chd?download=true
Broken Helix (USA).chd,487 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Broken%20Helix%20%28USA%29.chd?download=true
Broken Sword - The Shadow of the Templars (USA).chd,358 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Broken%20Sword%20-%20The%20Shadow%20of%20the%20Templars%20%28USA%29.chd?download=true
Broken Sword II - The Smoking Mirror (USA).chd,434 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Broken%20Sword%20II%20-%20The%20Smoking%20Mirror%20%28USA%29.chd?download=true
