name,url
Batman - Arkham City - Game of the Year Edition (US - EU) - Disc-2.iso,https://archive.org/download/CentralArquivista-XBOX360-part2/Batman - Arkham City - Game of the Year Edition (US - EU) - Disc-2.iso
Batman - Arkham Origins (BR) - Disc-1.iso,https://archive.org/download/CentralArquivista-XBOX360-part2/Batman - Arkham Origins (BR) - Disc-1.iso
Batman - Arkham Origins (BR) - Disc-2.iso,https://archive.org/download/CentralArquivista-XBOX360-part2/Batman - Arkham Origins (BR) - Disc-2.iso
Batman - Arkham Origins (US - EU) - Disc-1.iso,https://archive.org/download/CentralArquivista-XBOX360-part2/Batman - Arkham Origins (US - EU) - Disc-1.iso
Batman - Arkham Origins (US - EU) - Disc-2.iso,https://archive.org/download/CentralArquivista-XBOX360-part2/Batman - Arkham Origins (US - EU) - Disc-2.iso
Batman - The Telltale Series (US).iso,https://archive.org/download/CentralArquivista-XBOX360-part2/Batman - The Telltale Series (US).iso
Battle Fantasia (EU).iso,https://archive.org/download/CentralArquivista-XBOX360-part2/Battle Fantasia (EU).iso
Battle Fantasia (JP).iso,https://archive.org/download/CentralArquivista-XBOX360-part2/Battle Fantasia (JP).iso
Battle Fantasia (US).iso,https://archive.org/download/CentralArquivista-XBOX360-part2/Battle Fantasia (US).iso
Battle vs. Chess (EU).iso,https://archive.org/download/CentralArquivista-XBOX360-part2/Battle vs. Chess (EU).iso
Battlefield - Bad Company (EU) (Gold Edition).iso,https://archive.org/download/CentralArquivista-XBOX360-part2/Battlefield - Bad Company (EU) (Gold Edition).iso
Battlefield - Bad Company (EU).iso,https://archive.org/download/CentralArquivista-XBOX360-part2/Battlefield - Bad Company (EU).iso
Battlefield - Bad Company (JP).iso,https://archive.org/download/CentralArquivista-XBOX360-part2/Battlefield - Bad Company (JP).iso
Battlefield - Bad Company (US) (Gold Edition).iso,https://archive.org/download/CentralArquivista-XBOX360-part2/Battlefield - Bad Company (US) (Gold Edition).iso
Battlefield - Bad Company (US).iso,https://archive.org/download/CentralArquivista-XBOX360-part2/Battlefield - Bad Company (US).iso
Battlefield - Bad Company 2 (EU) (Limited Edition).iso,https://archive.org/download/CentralArquivista-XBOX360-part2/Battlefield - Bad Company 2 (EU) (Limited Edition).iso
Battlefield - Bad Company 2 (EU).iso,https://archive.org/download/CentralArquivista-XBOX360-part2/Battlefield - Bad Company 2 (EU).iso
Battlefield - Bad Company 2 (JP).iso,https://archive.org/download/CentralArquivista-XBOX360-part2/Battlefield - Bad Company 2 (JP).iso
Battlefield - Bad Company 2 (US - KR)).iso,https://archive.org/download/CentralArquivista-XBOX360-part2/Battlefield - Bad Company 2 (US - KR)).iso
Battlefield - Bad Company 2 (US) (Limited Edition).iso,https://archive.org/download/CentralArquivista-XBOX360-part2/Battlefield - Bad Company 2 (US) (Limited Edition).iso
Battlefield 2 - Modern Combat (DE).iso,https://archive.org/download/CentralArquivista-XBOX360-part2/Battlefield 2 - Modern Combat (DE).iso
Battlefield 2 - Modern Combat (ES).iso,https://archive.org/download/CentralArquivista-XBOX360-part2/Battlefield 2 - Modern Combat (ES).iso
Battlefield 2 - Modern Combat (EU).iso,https://archive.org/download/CentralArquivista-XBOX360-part2/Battlefield 2 - Modern Combat (EU).iso
Battlefield 2 - Modern Combat (IT).iso,https://archive.org/download/CentralArquivista-XBOX360-part2/Battlefield 2 - Modern Combat (IT).iso
Battlefield 2 - Modern Combat (JP).iso,https://archive.org/download/CentralArquivista-XBOX360-part2/Battlefield 2 - Modern Combat (JP).iso
Battlefield 2 - Modern Combat (US).iso,https://archive.org/download/CentralArquivista-XBOX360-part2/Battlefield 2 - Modern Combat (US).iso
